theta_rad;theta_deg;pressure_exp_kPa;pressure_sim_kPa;temperature_K;heat_loss_J;burned_fraction;dQ_dtheta_kJ_per_rad
-1.483529864;-85.000000;218.900000;219.855144;350.807714;-0.786010;0.000000000;0.000000000
-1.474803218;-84.500000;221.400000;222.138943;351.808581;-0.797531;0.000000000;0.000000000
-1.466076572;-84.000000;223.700000;224.467807;352.821152;-0.808966;0.000000000;0.000000000
-1.457349925;-83.500000;226.200000;226.842815;353.845577;-0.820312;0.000000000;0.000000000
-1.448623279;-83.000000;228.200000;229.265077;354.882009;-0.831569;0.000000000;0.000000000
-1.439896633;-82.500000;230.600000;231.735737;355.930603;-0.842735;0.000000000;0.000000000
-1.431169987;-82.000000;233.300000;234.255969;356.991515;-0.853806;0.000000000;0.000000000
-1.422443340;-81.500000;235.900000;236.826985;358.064906;-0.864782;0.000000000;0.000000000
-1.413716694;-81.000000;238.600000;239.450028;359.150938;-0.875660;0.000000000;0.000000000
-1.404990048;-80.500000;241.100000;242.126381;360.249776;-0.886437;0.000000000;0.000000000
-1.396263402;-80.000000;243.800000;244.857362;361.361588;-0.897113;0.000000000;0.000000000
-1.387536755;-79.500000;246.000000;247.644331;362.486543;-0.907684;0.000000000;0.000000000
-1.378810109;-79.000000;248.700000;250.488684;363.624814;-0.918149;0.000000000;0.000000000
-1.370083463;-78.500000;251.600000;253.391863;364.776577;-0.928504;0.000000000;0.000000000
-1.361356817;-78.000000;254.700000;256.355349;365.942011;-0.938748;0.000000000;0.000000000
-1.352630170;-77.500000;258.000000;259.380672;367.121297;-0.948877;0.000000000;0.000000000
-1.343903524;-77.000000;260.700000;262.469404;368.314619;-0.958890;0.000000000;0.000000000
-1.335176878;-76.500000;264.200000;265.623165;369.522164;-0.968783;0.000000000;0.000000000
-1.326450232;-76.000000;266.900000;268.843626;370.744123;-0.978553;0.000000000;0.000000000
-1.317723585;-75.500000;270.200000;272.132508;371.980688;-0.988199;0.000000000;0.000000000
-1.308996939;-75.000000;274.000000;275.491584;373.232055;-0.997717;0.000000000;0.000000000
-1.300270293;-74.500000;277.000000;278.922682;374.498425;-1.007104;0.000000000;0.000000000
-1.291543646;-74.000000;280.700000;282.427685;375.780000;-1.016356;0.000000000;0.000000000
-1.282817000;-73.500000;284.200000;286.008536;377.076986;-1.025471;0.000000000;0.000000000
-1.274090354;-73.000000;287.700000;289.667237;378.389590;-1.034446;0.000000000;0.000000000
-1.265363708;-72.500000;291.300000;293.405853;379.718027;-1.043276;0.000000000;0.000000000
-1.256637061;-72.000000;294.900000;297.226512;381.062512;-1.051959;0.000000000;0.000000000
-1.247910415;-71.500000;298.800000;301.131410;382.423264;-1.060491;0.000000000;0.000000000
-1.239183769;-71.000000;302.300000;305.122812;383.800506;-1.068868;0.000000000;0.000000000
-1.230457123;-70.500000;306.600000;309.203054;385.194463;-1.077086;0.000000000;0.000000000
-1.221730476;-70.000000;310.500000;313.374547;386.605367;-1.085142;0.000000000;0.000000000
-1.213003830;-69.500000;315.000000;317.639776;388.033449;-1.093031;0.000000000;0.000000000
-1.204277184;-69.000000;319.200000;322.001308;389.478948;-1.100749;0.000000000;0.000000000
-1.195550538;-68.500000;323.300000;326.461790;390.942104;-1.108292;0.000000000;0.000000000
-1.186823891;-68.000000;327.800000;331.023957;392.423161;-1.115655;0.000000000;0.000000000
-1.178097245;-67.500000;332.800000;335.690627;393.922369;-1.122834;0.000000000;0.000000000
-1.169370599;-67.000000;337.300000;340.464713;395.439978;-1.129824;0.000000000;0.000000000
-1.160643953;-66.500000;341.700000;345.349222;396.976246;-1.136619;0.000000000;0.000000000
-1.151917306;-66.000000;346.500000;350.347259;398.531431;-1.143216;0.000000000;0.000000000
-1.143190660;-65.500000;351.900000;355.462026;400.105799;-1.149609;0.000000000;0.000000000
-1.134464014;-65.000000;357.100000;360.696836;401.699617;-1.155792;0.000000000;0.000000000
-1.125737368;-64.500000;362.200000;366.055105;403.313156;-1.161760;0.000000000;0.000000000
-1.117010721;-64.000000;367.500000;371.540367;404.946694;-1.167507;0.000000000;0.000000000
-1.108284075;-63.500000;373.400000;377.156267;406.600510;-1.173027;0.000000000;0.000000000
