theta_deg;pressure_sim_bar
-16.240000;27.948655
-15.900000;28.381200
-15.560000;28.816204
-15.220000;29.253345
-14.880000;29.692284
-14.540000;30.132657
-14.200000;30.574081
-13.860000;31.016153
-13.520000;31.458445
-13.180000;31.900512
-12.840000;32.341884
-12.500000;32.782072
-12.160000;33.220568
-11.820000;33.656842
-11.480000;34.090344
-11.140000;34.520508
-10.800000;34.946750
-10.460000;35.368467
-10.120000;35.785044
-9.780000;36.195849
-9.440000;36.600240
-9.100000;36.997565
-8.760000;37.387160
-8.420000;37.768356
-8.080000;38.140481
-7.740000;38.502857
-7.400000;38.854809
-7.060000;39.195663
-6.720000;39.524751
-6.380000;39.841413
-6.040000;40.144997
-5.700000;40.434868
-5.360000;40.710406
-5.020000;40.971010
-4.680000;41.216100
-4.340000;41.445124
-4.000000;41.657554
-3.660000;41.852897
-3.320000;42.030688
-2.980000;42.190501
-2.640000;42.331948
-2.300000;42.454679
-1.960000;42.558389
-1.620000;42.642814
-1.280000;42.707736
-0.940000;42.752986
-0.600000;42.778441
-0.260000;42.784025
0.080000;42.769714
0.420000;42.735531
0.760000;42.681548
1.100000;42.607888
1.440000;42.514719
1.780000;42.402258
2.120000;42.319655
2.460000;42.497122
2.800000;42.819895
3.140000;43.239445
3.480000;43.730118
3.820000;44.274144
4.160000;44.857737
4.500000;45.469533
4.840000;46.099828
5.180000;46.740158
5.520000;47.383049
5.860000;48.021856
6.200000;48.650655
6.540000;49.264166
6.880000;49.857696
7.220000;50.427091
7.560000;50.968703
7.900000;51.479356
8.240000;51.956317
8.580000;52.397272
8.920000;52.800298
9.260000;53.163841
9.600000;53.486692
9.940000;53.767963
10.280000;54.007069
10.620000;54.203699
10.960000;54.357801
11.300000;54.469555
11.640000;54.539356
11.980000;54.567793
12.320000;54.555627
12.660000;54.503774
13.000000;54.413287
13.340000;54.285339
13.680000;54.121202
14.020000;53.922238
14.360000;53.689877
14.700000;53.425609
15.040000;53.130968
15.380000;52.807520
15.720000;52.456851
16.060000;52.080562
16.400000;51.680250
16.740000;51.257510
17.080000;50.813920
17.420000;50.351037
17.760000;49.870392
18.100000;49.373481
18.440000;48.861765
18.780000;48.336662
19.120000;47.799548
19.460000;47.251750
19.800000;46.694545
20.140000;46.129162
20.480000;45.556776
20.820000;44.978507
21.160000;44.395425
21.500000;43.808545
21.840000;43.218827
22.180000;42.627180
22.520000;42.034460
22.860000;41.441472
23.200000;40.848971
23.540000;40.257661
23.880000;39.668200
24.220000;39.081199
24.560000;38.497226
24.900000;37.916804
25.240000;37.340414
25.580000;36.768500
25.920000;36.201465
26.260000;35.639678
26.600000;35.083473
26.940000;34.533150
27.280000;33.988980
27.620000;33.451202
27.960000;32.920029
28.300000;32.395647
28.640000;31.878219
28.980000;31.367883
